name,desc,price,currency,date,locality,suburb,url
"Excelente mezzanine para oficinas, Luis Moya","Muy ubicado, totalmente terminado, piso de mármol, etc. Puntos de interés: Alameda Central, Secretaria de Relaciones Exteriores, Bellas Artes, etc.",6500,MXN,2019-11-10 13:23:06,Cuauhtémoc,Centro (Área 1),https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/excelente-mezzanine-para-oficinas-luis-moya-930295859
Departamento en renta céntrico x la raza,"Departamento en renta* Informes y requisitos al 5546167688 Departamento en 4to piso de edificio Sala comedor, cocina, 2 recamaras, 1 baño. Ubicado a una calle de circuito interior e insurgentes norte Metrobús san Simón a 2 calles Colonia Santa María insurgentes",6000,MXN,2019-11-10 11:08:11,Cuauhtémoc,Santa María Insurgentes,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/departamento-en-renta-centrico-x-la-raza-930395338
Se renta recamara con baño propio en la Roma Sur,"RENTO CUARTO AMUEBLADO PARA UNA PERSONA EN LA COLONIA ROMA SUR, CERCA DE METRO CHILPANCINGO, METROBUS VIADUCTO y NUEVO LEÓN Y ESTACION DE ECOBICI CERCANA. LA RENTA CUBRE TODOS LOS SERVICIOS BÁSICOS (AGUA, GAS , LUZ, INTERNET) ADEMÁS QUE SE REALIZA LA LIMPIEZA DE ÁREAS COMUNES (BAÑO Y COCINA) Y LA RECOLECCIÓN DE LA BASURA. LA COCINA CUENTA CON ESTUFA, REFRIGERADOR, ALACENA, SIENTETE LIBRE DE ENTRAR Y SALIR A LA HORA QUE GUSTES. SE SOLICITA DEPÓSITO EN GARANTÍA POR LA MITAD DE LA RENTA (SI DECIDES IRTE SE TE REGRESA ÍNTEGRAMENTE) Y LA RENTA DEL MES AL CORRIENTE. ENTREGA INMEDIATA",6500,MXN,2019-11-10 11:03:46,Cuauhtémoc,Roma Sur,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/se-renta-recamara-con-bano-propio-en-la-roma-sur-930012014
Rento depto nuevo cerca de aeropuerto,"Rento Depto 70m nuevo a 5 minutos de Aeropuerto CDMX. 2 recamarás, recamara principal c/vestidor, 2 baños, alcoba, sala comedor, cocina equipada, área de lavado, balcón en 4to piso. Circuito interior y FC Hidalgo. 1 cajón de estacionamiento. opcional: Jaula de tendido y roof garden privados. Amenidades: ludoteca, sala de cine, gimnasio, sala de adolecentes, salón de ventos y roof garden comunal",12000,MXN,2019-11-10 10:27:30,Cuauhtémoc,Valle Gómez,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/rento-depto-nuevo-cerca-de-aeropuerto-930319131
Amplio departamento nuevo,"Departamento con excelente iluminación que cuenta con 2 recámaras (la principal con vestidor y baño). Cuenta con excelente ubicación a 10 minutos de la zona centro de la Ciudad y del aeropuerto internacional de la Ciudad de México. El departamento cuenta con; Cocina de granito, pisos de porcelanato, persianas, cancel en baños, balcón, closets, sala de jóvenes, sala de cine para 40 personas, ludoteca, salón de usos múltiples, salón de usos múltiples (100 personas), gimnasio, canchas de basquetbol. Si se desea una jaula de tendido y un roof garden privado, el costo de la renta sería de $ 15,000.00 Colonia: Valle Gómez",11000,MXN,2019-11-10 10:27:18,Cuauhtémoc,Valle Gómez,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/amplio-departamento-nuevo-930011695
Depto 2 recamaras Reforma 50 col Morelos,"Rento departamento ubicado en el conjunto habitacional Galaxias Reforma, departamento con dos recámaras, Persianas y cocina con estufa, boiler cuenta con dos camas matrimoniales, estancia con cortinas no cuenta con cajón de estacionamiento. Se encuentra cerca de metro Garibaldi , las vías comunicación: Reforma, Eje 1 Norte, centros comerciales como son Chedraui, mercados populares y todos los servicios como son gas LP, agua, luz y vigilancia las 24 horas del día, Nos encontramos en paseo de la Reforma 50 col San Morelos, Del Cuauhtémoc, llámanos para hacer cita y conocerlos. Los requisitos que solicitamos son la renta corriente, depósito de la misma cantidad y un fiador con un bien raíz, además de comprobante de ingresos, tiempo mínimo del arrendamiento 1 año",6200,MXN,2019-11-10 09:47:34,Cuauhtémoc,Morelos,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/depto-2-recamaras-reforma-50-col-morelos-930172002
Rento oficina,Rento oficina 40 metros en col roma,6000,MXN,2019-11-09 22:20:20,Cuauhtémoc,Roma Norte,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/rento-oficina-930392838
"Rento bonita habitación en la Roma, roomies","Rento habitación en la colonia Roma, con baño privado. A media cuadra del Cine Tonalá. El pago de los servicios se divide entre los roomies. Para entrar el 1° de Diciembre · Caminando: · A 10 minutos metro y metrobus chilpancingo (insurgentes) caminando a 10 minutos. · A 8 minutos de una taquería vegana · A 10 minutos un supermercado japonés · A 6 minutos del mercado medellín · A 15 minutos de av. álvaro obregón · A 15 minutos de plaza insurgentes · Verdulerías, fruterías, cafés, restaurantes y misceláneas a 2 y 3 cuadras. La habitación no está amueblada. Tenemos sala, comedor, sotehuela. Cocina integral, refrigerador. Piano, guitarra, ukelele, etc. Soy estudiante de ingeniería en audio, maestra de canto, y compositora. Por lo regular hago música en mi casa. Busco un roomie responsable, ordenado, limpio, buena vibra, honesto, alivianado. En este hogar se ama y se respeta la naturaleza y las artes. Es un lugar seguro y tranquilo para vivir. Si tienes mascotas podemos llegar a un acuerdo, y si tienes plantas más todavía. Paz",7000,MXN,2019-11-09 20:02:06,Cuauhtémoc,Roma Sur,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/rento-bonita-habitacion-en-la-roma-roomies-930391960
"Tres recámaras, muy amplio y luminoso metro cerca","Ven y conócelo, un espacio ideal para personas trabajadoras, edificio de solo 4 departamentos en zona muy céntrica, amplio y luminoso. A solo unas cuadras de Metro San Antonio Abad (Línea Azul). Recien remodelado. Cerca de Supermercados, Plaza Portal Centro, cines, parques, transporte público. Ocupación Máxima 3 personas adultas, no se permiten mascotas. Requisitos forzosos - Aval con bien inmueble en CDMX - Comprobantes de ingresos de los últimos 3 meses - 1 depósito y 1 renta corriente - 2 referencias laborales y 2 personales Incluye mantenimiento Previa cita *5554538553",8800,MXN,2019-11-09 19:53:40,Cuauhtémoc,Transito,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/tres-recamaras-muy-amplio-y-luminoso-metro-cerca-930291301
"Busco roomie en la colonia Roma, baño privado","Rento amplia y luminosa habitación en la colonia Roma, con baño privado. A media cuadra del Cine Tonalá. El pago de los servicios se divide entre los roomies. Para entrar el 1° de Diciembre Es un edificio de 3 pisos, son 3 departamentos en total. · Caminando: · A 10 minutos metro y metrobus chilpancingo (insurgentes) caminando a 10 minutos. · A 8 minutos de una taquería vegana · A 10 minutos un supermercado japonés · A 6 minutos del mercado medellín · A 15 minutos de av. álvaro obregón · A 15 minutos de plaza insurgentes · Verdulerías, fruterías, cafés, restaurantes y misceláneas a 2 y 3 cuadras. La habitación no está amueblada. Tienes libertad creativa en tu habitación. :) Tenemos sala, comedor, sotehuela. Cocina integral, refrigerador. Piano, guitarra, ukelele, etc. Soy estudiante de ingeniería en audio, maestra de canto, y compositora. Por lo regular hago música en mi casa. Busco un roomie responsable, ordenado, limpio, buena vibra, honesto, alivianado. En este hogar se ama y se respeta la naturaleza y las artes. Es un lugar seguro y tranquilo para vivir. Si tienes mascotas podemos llegar a un acuerdo, y si tienes plantas más todavía. Paz",8000,MXN,2019-11-09 19:46:13,Cuauhtémoc,Roma Sur,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/busco-roomie-en-la-colonia-roma-bano-privado-930391849
Departamento en renta Col. Morelos Goroztiza,"Renta departamento ubicado entre canal del norte y circunvalación a 4 calles de Reforma, cercano a Calzada de Guadalupe; Torre CADU Reforma desarrollo exclusivo con vigilancia 24 horas, el departamento cuenta con 2 recamaras muy iluminadas y cálidas, 1 baño completo, cocineta , área de lavado y un lugar de estacionamiento con eleva-auto. Departamentos con doble altura lo que da una sensación de amplitud. Salón de usos múltiples. El precio ya incluye mantenimiento. No dejes que te lo ganen. Requisitos : mes de renta , mes de depósito y poliza jurídica ( aval )",8500,MXN,2019-11-09 17:13:47,Cuauhtémoc,Morelos,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/departamento-en-renta-col-morelos-goroztiza-930005879
"Mezquital, Valle Gómez","En Homie no te pedimos aval, te respaldamos y hacemos de tu vida algo maravilloso. Entérate de todos los beneficios que tienes como inquilino al rentar con nosotros: * Pago con tarjeta de crédito, débito, transferencia o efectivo. * Depósito de garantía a meses sin intereses. * Asistencia e intermediación con tu casero. * Puntos club premier de aeromexico. * Puntos Mastercard para premios exclusivos. * Proceso sin burocracia, renta en cuestión de horas y sin tanto papeleo. * Descuentos exclusivos con nuestros partners como Gaia Design. Departamento de 45.0 metros cuadrados cuenta con: - 2 habitaciones. - 1.0 baño Amenidades: - Elevador Antigüedad: Por estrenar. Agenda tu cita aquí http://bit.ly/2oe3dlq ¡Enamórate de tu vida en este departamento! # Homie Id: 5d8ff48afa6afe5fe1b1faa1-22936 Colonia: Valle Gómez",6500,MXN,2019-11-09 17:00:00,Cuauhtémoc,Valle Gómez,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/mezquital-valle-gomez-929821876
Habitación completamente amueblada por Reforma,"Buscamos a un roomie para un departamento con 3 habitaciones. Somos 2 profesionales. Buena onda y chill vibes. El departamento esta completamente amueblado y muy bien ubicado cerca de La palma de la Glorieta. Esta a 2 cuadras del gimnasio, el super y una estación de Ecobici",8500,MXN,2019-11-09 13:54:35,Cuauhtémoc,Juárez,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/habitacion-completamente-amueblada-por-reforma-930388951
Se rentan oficinas,"se rentan oficinas con baño área de recepción, con dos cubículos ubicada por el metro chabacano mayores informes al 59592444",12000,MXN,2019-11-09 13:48:09,Cuauhtémoc,Obrera,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/se-rentan-oficinas-930388885
Rento bonito departamento,"Hermoso departamenton con mucha luz natural y ventilación, ideal para matrimonio de recien casados o que viene su primer bebé con muy buena ubicación entre de Calzada de los Misterios y Eje Central, entre Manuel González y Circuito Interior, con dos recamaras con closet cada una, sala de buen tamaño y un closet más en sala, comedor, baño forrado con asulejos, cocina con gas natural y cocineta integral, zona de lavado y jaula de tendedero. Atención Ing. Páez al 5535502539 o al 57829284",9000,MXN,2019-11-09 12:40:37,Cuauhtémoc,Ex-Hipódromo de Peralvillo,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/rento-bonito-departamento-930388082
Renta de Oficinas,"Se rentan 2 oficinas de lujo amuebladas de 70 y 115 m2 Colonia Doctores $ $ 7,500.00 y $ 12,500.00 Whatsapp 55 4996 1443",7500,MXN,2019-11-09 11:26:20,Cuauhtémoc,Doctores,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/renta-de-oficinas-930251731
"Metro chabacano, loft para una persona","Loft amueblado para una persona, cerca del metro chabacano ( líneas 2, 8 y 9), bonito, acogedor, nuevecito, cómodo y funcional, cuenta con una recámara con cama individual, ropero, mesa de trabajo, sillas de madera, televisor, cocina equipada con cocina integral, refrigerador, horno de microondas, baño, área de lavado con lavadero; cisterna, tinaco, bomba para agua, gas estacionario; incluye agua y energía eléctrica. Requisitos: solvencia económica, una persona, sin mascotas, sin estacionamiento para automóvil, contrato, trato directo. Informes por llamada de voz",6500,MXN,2019-11-09 10:35:47,Cuauhtémoc,Vista Alegre,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/metro-chabacano-loft-para-una-persona-928013174
"Lucas Alaman, Obrera","En Homie no te pedimos aval, te respaldamos y hacemos de tu vida algo maravilloso. Entérate de todos los beneficios que tienes como inquilino al rentar con nosotros: * Pago con tarjeta de crédito, débito, transferencia o efectivo. * Depósito de garantía a meses sin intereses. * Asistencia e intermediación con tu casero. * Puntos club premier de aeromexico. * Puntos Mastercard para premios exclusivos. * Proceso sin burocracia, renta en cuestión de horas y sin tanto papeleo. * Descuentos exclusivos con nuestros partners como Gaia Design. Departamento de 61.0 metros cuadrados cuenta con: - 2 habitaciones. - 2.0 baños. - 1 lugar de estacionamiento. Características: - Estación de lavado - Cocina integral - Acceso universal Amenidades: - Gimnasio - Seguridad - Elevador - Salón de fiestas - Asador - Cisterna Antigüedad: Por estrenar. Agenda tu cita aquí http://bit.ly/2ZT8g8p ¡Enamórate de tu vida en este departamento! # Homie Id: 5d140d1d4d35bf6770785204-15235 Colonia: Obrera",11500,MXN,2019-11-09 10:23:21,Cuauhtémoc,Obrera,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/lucas-alaman-obrera-928556157
RENTA DEPARTAMENTO NUEVO VALLE GOMEZ,"Departamento Nuevo, excelente ubicación e iluminación, 2 recámaras, 1 baño, Sala, Comedor, cocina y area de lavado, Estufa, Refrigerador, edificio tranquilo, cerca de centros comerciales, calle tranquila y con excelentes vías de comunicación, cerca metro Valle Gomez, Avenida Misterios. Visítelo!! Colonia: Valle Gómez",6500,MXN,2019-11-09 10:00:00,Cuauhtémoc,Valle Gómez,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/renta-departamento-nuevo-valle-gomez-930394643
SE RENTA DEPARTAMENTO,Departamento Nuevo interior de 48 mts cuadrados. Ubicado en tercer nivel Sala Comedor Cocina 2 Recamaras 1 Baño completo Área de lavado integrada Gas natural 1 lugar de estacionamiento asignado Cisterna Vigilancia privada Colonia: Esperanza,7500,MXN,2019-11-09 09:35:17,Cuauhtémoc,,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/se-renta-departamento-930284966
Se renta oficina ubicadisima,"¡¡¡EN RENTA OFICINA EN LA COLONIA ROMA NORTE!!! MUY BIEN UBICADA Y EXCELENTES CONDICIONES SE RENTA OFICINA PRIVADA EN 29.00 M2 Zona: Colonia Roma Norte, a 700 m de la estación de Metro Hospital General (L3) en una privilegiada ubicación habitacional y comercial. La oficina se encuentra caminando a vialidades principales como Eje 1 Cuauhtémoc, Eje 8 Chilpancingo, Viaducto, Medellín, Álvaro Obregón o Insurgentes Sur. Conectada con L3 y L9 de Metro, L1, L2 y L7 de Metrobús. Centros Comerciales cercanos como Pabellón Cuauhtémoc, Parque Delta o Plaza Insurgentes así como el Mercado Medellín o Mercado Roma. Distribución: - Construcción 29.44 m2 - Distribución en un nivel - Un solo espacio amplio - Frente de calle - Altura libre de 2.60 m - Sanitario amplio dentro de la oficina - Acceso compartido a cocina y comedor - Patio interior - Ventanas con protecciones, chapas de seguridad y alambrado electrificado Beneficios: - Réntala desde 3 o hasta 12 meses - Paga tu renta y depósito en efectivo, tarjeta o transferencia - Paga tu depósito hasta en 3 MSI Entrega: - ¡EN REMODELACIÓN! - Lista para amueblar - Incluye servicios de agua, luz, mantenimiento y uso de áreas comunes como cocina y comedor - No incluye limpieza interior - No incluye servicio de internet Requisitos: - 1 mes de renta corriente - 1 mes de depósito - Póliza jurídica - Sin aval - Sin garantía Disponibilidad: A partir del 15 de noviembre de 2019 ¡CONTÁCTANOS Y VISÍTALA!",11000,MXN,2019-11-10 20:46:43,Cuauhtémoc,Roma Norte,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/se-renta-oficina-ubicadisima-930400354
Se renta departamento amueblado en edificio nuevo ,"Se renta departamento amueblado en edificio nuevo a una cuadra del metro niños héroes, el edificio cuenta con vigilancia las 24 hrs. y 2 elevadores, el departamento tiene 2 recámaras con closet c/u (1 recámara con balcón y vista a la calle), 2 baños completos, sala, comedor, cocina (estufa, refrigerador, horno de microondas, licuadora y utensilios de cocina), asimismo cuenta con una lavasecadora (nueva), el departamento incluye 1 estacionamiento para camioneta o coche (no elevaautos), en el estacionamiento se encuentra un contenedor asignado para la basura. No se aceptan animales. Cualquier duda e información favor de comunicarse a los tel: 5525190858 o al 5519340555.",12000,MXN,2019-11-10 19:09:32,Cuauhtémoc,Doctores,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/se-renta-departamento-amueblado-en-edificio-nuevo-930399503
"Roma norte, amueblado listo para ocuparse","Amueblado, Interior, Muy Bien Ubicado, Listo Para Ocuparse En la calle de Querétaro entre Medellín y Monterrey a unos pasos del mercado Roma, se encuentra este lindo departamento que se renta amueblado, 50 metros; sala con sofa cama, comedor, cocina integral, recamara con closet y baño completo, el edificio es reciente sin afectación tras el sismo del 2017, es segundo piso con elevador pero sin estacionamiento , con terraza comun en la azotea",11000,MXN,2019-11-10 18:22:16,Cuauhtémoc,Roma Norte,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/roma-norte-amueblado-listo-para-ocuparse-930341029
Dep amueblado junto Ciudad judicial,"Hermoso departamento totalmente amueblado y equipado, con todo lo necesario para llegar a vivir!! Se encuentra en unidad habitacional con vigilancia, elevador, gym (pequeña cuota) área de juegos para niños, elevador y vigilancia 24 horas. El departamento cuenta con sala, comedor, recámara matrimonial y recámara individual, baño, cocina, zotehuela. En la renta está incluido el mantenimiento, internet, teléfono y televisión de paga. La luz, agua y gas (se paga por el usuario y e según sus consumos) El departamento tambie cuenta con refrigerador, horno de microondas, tele, lavadora, utensilios de cocina, colchas, sábanas, platos y lo necesario para vivir. El departamento se encuentra a unas calles del metro Zapata, ciudad a judicial y Universidad de Londres No ce aceptan mascotas y maximo 2 adultos tranquilos y responsables. Tengo whatsap y acepto llamadas",12000,MXN,2019-11-10 17:39:23,Cuauhtémoc,Doctores,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/dep-amueblado-junto-ciudad-judicial-930299393
Depto para estudiante,"Lindo depto para una sola persona cuenta con una recamara con closet, un baño completo con cancel, cocineta, esta en primer nivel esta todo nuevo, sin mascotas esta cerca de metro chabacano, obrera, hospital general de preferencia llamenos",5000,MXN,2019-11-10 16:11:06,Cuauhtémoc,Cuauhtémoc,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/depto-para-estudiante-930210690
"Rento departamento, con excelente ubicación","rento departamento, en doctor lavista,y av. niños héroes, cerca de televisa chapultepec, tribunal superior de justicia, tesorería, del gobierno del distrito federal, tribunales, y del metro niños héroes y balderas, y de todo tipo de servicios en general. el departamento esta en un segundo piso, y ultimo nivel, tiene dos recamaras, sala comedor, área de lavado y tendido integrada, al departamento, cocina semi equipada, hay que llevar su estufa, para colocar, baño completo. el departamento no cuenta con estacionamiento, sin embrago, frente al edifico, hay dos estacionamientos públicos. renta mensual $5,800.00, Cinco mil Ochocientos Pesos, No se admiten mascotas. los requisitos de arrendamiento a elegir son: 1.deposito, renta mensual, y fiador en la cdmx. o hay un segundo esquema de arrendamiento el cual es deposito, renta mensual,y contratar una póliza jurídica de arrendamiento. para mayores informes y citas, llamar de favor al, 55-1567-6103, en horarios hábiles",5800,MXN,2019-11-10 15:24:54,Cuauhtémoc,Doctores,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/rento-departamento-con-excelente-ubicacion-930297688
Departamento primer piso,"dos recamaras una con closet área de lavado, un baño completo, cocina tipo integral, sala comedor, tanque estacionario, tinaco. la renta incluye mantenimiento, agua y limpieza de área común. se requiere fiador cdmx un deposito y renta carta recomendación arrendador anterior sin niños solo mayores de 16 años gente tranquila sin mascotas de ningún tipo estacionamiento con costo de 500 citas enviar mensaje",7000,MXN,2019-11-10 15:04:38,Cuauhtémoc,Ex-Hipódromo de Peralvillo,https://www.segundamano.mx/anuncios/ciudad-de-mexico/cuauhtemoc/renta-inmuebles/departamento-primer-piso-930397528
